feature,importance
flow_iat_min,0.1036986913437645
active_min,0.06914299081820885
active_avg,0.06873878528507903
flow_iat_avg,0.0687026079412219
active_tot,0.06627472259590898
flow_duration,0.06511844316993685
bwd_subflow_bytes,0.06244671882686285
flow_iat_tot,0.061141455026827
active_max,0.04216204557209994
flow_iat_max,0.04198889399462903
bwd_pkts_payload_max,0.03313842635611288
fwd_iat_avg,0.03218994059557137
fwd_iat_min,0.029183150454897867
bwd_pkts_payload_avg,0.0270873809130228
bwd_data_pkts_tot,0.026940823025777404
bwd_pkts_payload_tot,0.026784957395210578
fwd_iat_max,0.019120998922909454
flow_iat_std,0.01797593772888266
fwd_iat_tot,0.01639910525148479
bwd_pkts_tot,0.008791650596895182
service_-,0.008655710713107433
flow_pkts_per_sec,0.007760540492459226
bwd_psh_flag_count,0.0068782206586272335
fwd_pkts_payload_min,0.006476836622621525
fwd_pkts_payload_avg,0.005919095668961226
fwd_data_pkts_tot,0.005850826990999781
bwd_subflow_pkts,0.005110512662967488
fwd_pkts_tot,0.005077097711799618
bwd_iat_avg,0.004916845203878647
bwd_pkts_payload_std,0.004709205051249661
fwd_subflow_bytes,0.0044894115812835955
fwd_pkts_payload_tot,0.0030028726788878593
bwd_header_size_tot,0.0028727131070644266
flow_pkts_payload_min,0.0027246601714607434
fwd_pkts_payload_max,0.002500444575591437
fwd_iat_std,0.0023465820756606768
flow_syn_flag_count,0.0023269015665228
flow_pkts_payload_avg,0.0021194398114530236
bwd_iat_max,0.0018941924625973266
fwd_header_size_tot,0.001772582633793622
id_resp_p,0.0015229420325495397
bwd_iat_tot,0.001486945839303241
fwd_pkts_payload_std,0.001387232458565459
id_orig_p,0.001279213406475982
fwd_pkts_per_sec,0.001231500302649437
flow_pkts_payload_tot,0.0011931541225676395
bwd_iat_min,0.0011716928252146481
flow_pkts_payload_max,0.0011619767172618466
payload_bytes_per_second,0.0011493600854383945
fwd_header_size_min,0.001130937663869071
bwd_header_size_min,0.0011056201463517383
bwd_init_window_size,0.0010830071545757831
fwd_subflow_pkts,0.0010340798164762575
bwd_iat_std,0.0010226080953890636
bwd_pkts_payload_min,0.0009440588890162549
fwd_last_window_size,0.0006659839034514662
bwd_pkts_per_sec,0.0006638480363124609
fwd_header_size_max,0.0006611155539058397
flow_pkts_payload_std,0.0006571862208441347
proto_icmp,0.0004794342168628753
bwd_header_size_max,0.0004588361060133502
proto_tcp,0.0004417057376846184
fwd_psh_flag_count,0.0003949633607312843
fwd_init_window_size,0.00039426375370889185
down_up_ratio,0.00039021069357936646
flow_ack_flag_count,0.00037327616244928864
active_std,0.00034510509780843595
proto_udp,0.00024871742741410413
flow_cwr_flag_count,0.0001893300963044793
flow_ece_flag_count,0.00015442285191402658
service_dns,0.0001445416984343085
service_ntp,0.00012149961566115876
flow_fin_flag_count,0.00011611257269992511
idle_tot,0.0001050656107587345
idle_avg,8.799987461355685e-05
idle_std,8.259149227982688e-05
idle_max,7.283473684954304e-05
bwd_bulk_rate,6.20747322974246e-05
idle_min,5.7753170949927744e-05
service_http,5.1625458308991406e-05
flow_rst_flag_count,4.971930738522226e-05
bwd_bulk_packets,4.137588511633781e-05
bwd_bulk_bytes,3.0042442656266105e-05
service_ssl,2.640110295584912e-05
service_ssh,2.336740466011904e-05
service_mqtt,2.113637138634005e-05
service_dhcp,1.7899159098249724e-05
service_irc,8.863760580293645e-06
fwd_bulk_rate,7.943352292323506e-06
fwd_bulk_bytes,7.137253752346111e-06
fwd_bulk_packets,5.710981245747108e-06
fwd_urg_flag_count,3.1558767495966678e-06
service_radius,1.1082875208015258e-09
